record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
149,219640,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,0.79,5000000,"['Action', 'Indie']"
150,219740,Don't Starve,Klei Entertainment,Klei Entertainment,0.79,5000000,"['Adventure', 'Indie', 'Simulation']"
189,227300,Euro Truck Simulator 2,SCS Software,SCS Software,0.79,5000000,"['Indie', 'Simulation']"
216,235540,Warhammer: End Times - Vermintide,Fatshark,Fatshark,0.79,1000000,"['Action', 'Indie']"
244,241540,State of Decay,Undead Labs,Xbox Game Studios,0.79,500000,"['Action', 'RPG', 'Simulation']"
252,242700,Injustice: Gods Among Us Ultimate Edition,NetherRealm Studios,Warner Bros. Interactive Entertainment,0.79,1000000,['Action']
276,249050,Dungeon of the Endless - Crystal Edition,AMPLITUDE Studios,SEGA,0.79,500000,"['Adventure', 'Indie', 'RPG', 'Strategy']"
291,253230,A Hat in Time,Gears for Breakfast,Gears for Breakfast,0.79,500000,"['Adventure', 'Indie']"
294,254700,Resident Evil 4,Capcom,Capcom,0.79,1000000,"['Action', 'Adventure']"
457,335300,DARK SOULS II: Scholar of the First Sin,"FromSoftware, Inc",BANDAI NAMCO Entertainment,0.79,2000000,"['Action', 'RPG']"
572,396750,EVERSPACE,ROCKFISH Games,ROCKFISH Games,0.79,500000,"['Action', 'Indie', 'in Early Access']"
591,410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,SANDLOT,D3 PUBLISHER,0.79,500000,['Action']
650,445980,Wizard of Legend,Contingent99,Contingent99,0.79,500000,"['Action', 'Adventure', 'Indie']"
737,527230,For The King,IronOak Games,Curve Digital,0.79,500000,"['Adventure', 'Indie', 'RPG', 'Strategy', 'in Early Access']"
935,845070,The Awesome Adventures of Captain Spirit,DONTNOD Entertainment,Square Enix,0.79,2000000,"['Adventure', 'Free to Play']"
962,9200,RAGE,id Software,Bethesda Softworks,0.79,1000000,['Action']
